n_agents n_rounds n_runs lam mean variance std
100 400 3000 0.73 50.561333 49.410238 7.029242
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 0 0.000000
15 0 0.000000
16 0 0.000000
17 0 0.000000
18 0 0.000000
19 0 0.000000
20 0 0.000000
21 0 0.000000
22 0 0.000000
23 0 0.000000
24 0 0.000000
25 0 0.000000
26 1 0.000333
27 1 0.000333
28 1 0.000333
29 0 0.000000
30 1 0.000333
31 2 0.000667
32 6 0.002000
33 7 0.002333
34 13 0.004333
35 7 0.002333
36 18 0.006000
37 32 0.010667
38 44 0.014667
39 52 0.017333
40 65 0.021667
41 86 0.028667
42 70 0.023333
43 87 0.029000
44 105 0.035000
45 118 0.039333
46 152 0.050667
47 148 0.049333
48 137 0.045667
49 163 0.054333
50 157 0.052333
51 157 0.052333
52 158 0.052667
53 151 0.050333
54 153 0.051000
55 146 0.048667
56 140 0.046667
57 118 0.039333
58 105 0.035000
59 101 0.033667
60 68 0.022667
61 56 0.018667
62 53 0.017667
63 35 0.011667
64 30 0.010000
65 16 0.005333
66 16 0.005333
67 12 0.004000
68 5 0.001667
69 4 0.001333
70 1 0.000333
71 1 0.000333
72 0 0.000000
73 0 0.000000
74 1 0.000333
75 0 0.000000
76 0 0.000000
77 0 0.000000
78 0 0.000000
79 0 0.000000
80 0 0.000000
81 0 0.000000
82 0 0.000000
83 0 0.000000
84 0 0.000000
85 0 0.000000
86 0 0.000000
87 0 0.000000
88 0 0.000000
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
