lambda variance std t_mix n_rounds
0.0000 3.714400 1.927278 10 50
0.0100 3.714400 1.927278 10 50
0.0200 3.714400 1.927278 10 50
0.0300 3.714400 1.927278 10 50
0.0400 3.714400 1.927278 10 50
0.0500 3.714400 1.927278 10 50
0.0600 3.714400 1.927278 10 50
0.0700 3.714400 1.927278 10 50
0.0800 3.690400 1.921041 10 50
0.0900 3.651504 1.910891 10 50
0.1000 3.606400 1.899052 10 50
0.1100 3.534956 1.880148 10 50
0.1200 3.534956 1.880148 10 50
0.1300 3.375504 1.837254 10 50
0.1400 3.375504 1.837254 10 50
0.1500 3.375504 1.837254 10 50
0.1600 3.375504 1.837254 10 50
0.1700 3.040544 1.743716 10 50
0.1800 3.040544 1.743716 10 50
0.1900 3.029004 1.740403 10 50
0.2000 3.029004 1.740403 10 50
0.2100 3.029004 1.740403 10 50
0.2200 3.029004 1.740403 10 50
0.2300 3.029004 1.740403 10 50
0.2400 3.029004 1.740403 10 50
0.2500 2.893004 1.700883 10 50
0.2600 2.528044 1.589982 10 50
0.2700 2.528044 1.589982 10 50
0.2800 2.528044 1.589982 10 50
0.2900 2.528044 1.589982 10 50
0.3000 2.445616 1.563847 10 50
0.3100 2.369616 1.539356 10 50
0.3200 2.362124 1.536920 10 50
0.3300 2.362124 1.536920 10 50
0.3400 2.362124 1.536920 10 50
0.3500 2.362124 1.536920 10 50
0.3600 2.358124 1.535618 10 50
0.3700 2.358124 1.535618 10 50
0.3800 2.158336 1.469128 10 50
0.3900 2.158336 1.469128 10 50
0.4000 2.158336 1.469128 10 50
0.4100 2.158336 1.469128 10 50
0.4200 2.115596 1.454509 10 50
0.4300 2.115596 1.454509 10 50
0.4400 2.112000 1.453272 10 50
0.4500 2.112000 1.453272 10 50
0.4600 2.112000 1.453272 10 50
0.4700 2.112000 1.453272 10 50
0.4800 2.112000 1.453272 10 50
0.4900 2.112000 1.453272 10 50
0.5000 1.671116 1.292717 20 50
0.5100 1.133900 1.064847 20 50
0.5200 1.133900 1.064847 20 50
0.5300 1.133900 1.064847 20 50
0.5400 1.133900 1.064847 20 50
0.5500 1.133900 1.064847 20 50
0.5600 1.133900 1.064847 20 50
0.5700 1.133900 1.064847 20 50
0.5800 1.133900 1.064847 20 50
0.5900 1.114764 1.055824 20 50
0.6000 1.114764 1.055824 20 50
0.6100 1.114764 1.055824 20 50
0.6200 1.114764 1.055824 20 50
0.6300 0.866604 0.930916 30 60
0.6400 0.866604 0.930916 30 60
0.6500 0.875276 0.935562 30 60
0.6600 0.875276 0.935562 30 60
0.6700 0.875276 0.935562 30 60
0.6800 0.875276 0.935562 30 60
0.6900 0.874944 0.935384 30 60
0.7000 0.886764 0.941681 20 50
0.7100 0.858944 0.926792 20 50
0.7200 0.858944 0.926792 20 50
0.7300 0.858944 0.926792 20 50
0.7400 0.858944 0.926792 20 50
0.7500 0.609536 0.780728 40 80
0.7600 0.606604 0.778848 30 60
0.7700 0.606604 0.778848 30 60
0.7800 0.606604 0.778848 30 60
0.7900 0.497900 0.705620 40 80
0.8000 0.497900 0.705620 40 80
0.8100 0.497900 0.705620 40 80
0.8200 0.501936 0.708474 40 80
0.8300 0.501936 0.708474 40 80
0.8400 0.305964 0.553140 100 200
0.8500 0.305964 0.553140 100 200
0.8600 0.305964 0.553140 100 200
0.8700 0.305964 0.553140 100 200
0.8800 0.261936 0.511797 500 1000
0.8900 0.261936 0.511797 500 1000
0.9000 0.637164 0.798226 500 1000
0.9100 1.377936 1.173855 100 200
0.9200 2.133900 1.460787 10 50
0.9300 2.405100 1.550838 10 50
0.9400 2.477100 1.573881 10 50
0.9500 2.492976 1.578916 10 50
0.9600 2.492976 1.578916 10 50
0.9700 2.492976 1.578916 10 50
0.9800 2.492976 1.578916 10 50
0.9900 2.492976 1.578916 10 50
